e-SUS - Atenção Primária
MINISTÉRIO DA SAÚDE
ESTADO DE SÃO PAULO
MUNICÍPIO DE AMERICANA
UNIDADE DE SAÚDE CAFI CENTRO DE ASSISTENCIA A FAMILIA E AO IDOSO

Relatório de atendimento odontológico - Analítico

FILTROS
Período;01/05/2026 a 31/05/2026
Equipe;Todas
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;13/06/2026; às ;00:45;
Gerado em ;13/06/2026; às ;17:52; por ;Rodrigo Alexander Diaz Leon


Resumo de produção
A97 - SEM DOENÇA;2;
D82 - DOENÇA DOS DENTES/GENGIVAS;98;

Problemas / Condições avaliadas - CID10
Descrição;Quantidade;
K01 - DENTES INCLUSOS E IMPACTADOS;1;
K011 - DENTES IMPACTADOS;1;
K02 - CÁRIE DENTÁRIA;16;
K031 - ABRASÃO DENTÁRIA;8;
K036 - DEPÓSITOS NOS DENTES;18;
K04 - DOENÇAS DA POLPA E DOS TECIDOS PERIAPICAIS;18;
K041 - NECROSE DA POLPA;1;
K06 - OUTROS TRANSTORNOS DA GENGIVA E DO REBORDO ALVEOLAR SEM DENTES;2;
K08 - OUTROS TRANSTORNOS DOS DENTES E DE SUAS ESTRUTURAS DE SUSTENTAÇÃO;12;
K080 - EXFOLIAÇÃO DOS DENTES DEVIDA A CAUSAS SISTÊMICAS;1;
K081 - PERDA DE DENTES DEVIDA A ACIDENTE, EXTRAÇÃO OU A DOENÇAS PERIODONTAIS LOCALIZADAS;1;
K083 - RAIZ DENTÁRIA RETIDA;13;
K121 - OUTRAS FORMAS DE ESTOMATITE;1;
R600 - EDEMA LOCALIZADO;3;
S025 - FRATURA DE DENTES;9;
Z012 - EXAME DENTÁRIO;5;

Ofertas de Cuidados Integrados - OCI (código do SIGTAP)
Descrição;Quantidade Solicitada;
